Week2_Quiz1,Week3_MP1,Week3_PR1,Week5_MP2,Week5_PR2,Week7_MP3,Week7_PR3,Week4_Quiz2,Week6_Quiz3,Week8_Total,Week1_Stat0,Week1_Stat1,Week1_Stat2,Week1_Stat3,Week2_Stat0,Week2_Stat1,Week2_Stat2,Week2_Stat3,Week3_Stat0,Week3_Stat1,Week3_Stat2,Week3_Stat3,Week4_Stat0,Week4_Stat1,Week4_Stat2,Week4_Stat3,Week5_Stat0,Week5_Stat1,Week5_Stat2,Week5_Stat3,Week6_Stat0,Week6_Stat1,Week6_Stat2,Week6_Stat3,Week7_Stat0,Week7_Stat1,Week7_Stat2,Week7_Stat3,Week8_Stat0,Week8_Stat1,Week8_Stat2,Week8_Stat3,Week9_Stat0,Week9_Stat1,Week9_Stat2,Week9_Stat3,Grade
1.0,1.0,1.0,0.8045,1.0,0.6251428571428571,1.0,1.0,1.0,0.8429642857142857,0.0,0.0,0.0,0.0,0.06730769230769232,0.5263157894736842,0.1,0.0,0.2777777777777778,0.26666666666666666,0.0,0.0,0.05833333333333333,0.4482758620689655,0.15384615384615385,0.0,0.12972972972972974,0.15384615384615385,0.043478260869565216,0.0,0.13461538461538464,0.5882352941176471,0.04444444444444445,0.0,0.013793103448275862,0.0,0.028571428571428567,0.0,0.05555555555555556,0.14814814814814814,0.0,0.4444444444444444,0.12903225806451613,0.5,0.04,0.0,4
0.6659999999999999,1.0,1.0,0.8915,1.0,0.6362857142857142,1.0,0.8,1.0,0.7993785714285714,0.2962962962962963,0.0,0.0,0.0,0.5865384615384616,0.17543859649122806,0.30000000000000004,0.32,0.9259259259259258,0.26666666666666666,0.26666666666666666,0.21428571428571427,0.5416666666666666,0.1839080459770115,0.07692307692307693,0.16666666666666666,0.2594594594594595,0.4871794871794872,0.21739130434782608,0.4545454545454546,0.2740384615384616,0.4313725490196079,0.04444444444444445,0.5714285714285714,0.21379310344827585,0.375,0.0,0.6666666666666666,0.05555555555555556,0.07407407407407407,0.0,0.0,0.4032258064516129,0.25,0.08,1.0,3
0.33399999999999996,0.8666666666666667,1.0,0.7610000000000001,1.0,0.7728571428571428,0.5,1.0,1.0,0.723452380952381,0.14814814814814814,0.0,0.0,0.0,0.1826923076923077,0.17543859649122806,0.30000000000000004,0.12,0.23148148148148145,0.26666666666666666,0.0,0.14285714285714285,0.20833333333333331,0.2183908045977012,0.15384615384615385,0.08333333333333333,0.15135135135135136,0.15384615384615385,0.0,0.18181818181818185,0.06730769230769232,0.392156862745098,0.04444444444444445,0.0,0.08275862068965517,0.16666666666666666,0.0,0.0,0.08888888888888889,0.07407407407407407,0.0,0.0,0.14516129032258066,0.0,0.04,0.0,3
0.5,0.9333333333333332,1.0,0.5,1.0,0.8862857142857142,1.0,0.626,1.0,0.7445619047619048,0.4444444444444444,0.0,0.0,0.16666666666666666,0.2884615384615385,0.17543859649122806,0.1,0.24,0.7314814814814814,0.26666666666666666,0.13333333333333333,0.14285714285714285,1.0,0.3103448275862069,0.15384615384615385,0.04166666666666666,0.2540540540540541,0.10256410256410256,0.13043478260869565,0.09090909090909093,0.4759615384615385,0.3725490196078432,0.08888888888888889,0.0,0.2,0.16666666666666666,0.14285714285714285,0.3333333333333333,0.11111111111111112,0.0,0.0,0.0,0.1129032258064516,0.5,0.0,0.0,3
0.0,1.0,1.0,0.6085,0.986,0.4545714285714286,1.0,0.934,1.0,0.6983071428571429,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.025,0.1724137931034483,0.07692307692307693,0.0,0.17297297297297298,0.3076923076923077,0.0,0.7272727272727273,0.10576923076923077,0.3529411764705882,0.022222222222222227,0.2857142857142857,0.296551724137931,0.16666666666666666,0.08571428571428573,0.5,0.08888888888888889,0.1851851851851852,0.045454545454545456,0.1111111111111111,0.08064516129032258,0.25,0.04,0.0,2
0.6659999999999999,0.9333333333333332,1.0,0.7390000000000001,1.0,0.4431428571428571,1.0,0.934,0.9,0.761547619047619,0.4444444444444444,0.0,0.18181818181818185,0.16666666666666666,0.3365384615384616,0.21052631578947367,0.2,0.24,0.4629629629629629,0.0,0.0,0.2857142857142857,0.4708333333333333,0.2413793103448276,0.07692307692307693,0.125,0.17297297297297298,0.1282051282051282,0.043478260869565216,0.09090909090909093,0.34134615384615385,0.4117647058823529,0.022222222222222227,0.14285714285714285,0.2275862068965517,0.375,0.0,0.25,0.13333333333333333,0.0,0.0,0.0,0.1129032258064516,0.16666666666666666,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.942,1.0,0.8942,0.7037037037037037,0.0,0.18181818181818185,0.3333333333333333,0.15384615384615385,0.17543859649122806,0.2,0.0,0.7407407407407407,0.6,0.13333333333333333,0.2857142857142857,0.17083333333333334,0.16091954022988506,0.2307692307692308,0.08333333333333333,0.33513513513513515,0.28205128205128205,0.0,0.0,0.20673076923076925,0.3725490196078432,0.022222222222222227,0.0,0.32413793103448274,0.375,0.08571428571428573,0.25,0.2333333333333333,0.4444444444444444,0.045454545454545456,0.0,0.2419354838709677,0.0,0.04,0.0,4
0.0,0.8666666666666667,1.0,1.0,1.0,0.9885714285714284,1.0,0.542,0.0,0.6397238095238095,0.0,0.0,0.0,0.0,0.02884615384615385,0.0,0.0,0.04,0.4722222222222222,0.26666666666666666,0.26666666666666666,0.3571428571428571,0.07083333333333333,0.0,0.0,0.0,0.17297297297297298,0.4358974358974359,0.043478260869565216,0.0,0.04326923076923077,0.0392156862745098,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.15555555555555556,0.0,0.0,0.0,0.1935483870967742,0.16666666666666666,0.0,0.0,2
1.0,0.8,1.0,0.6085,1.0,0.7045714285714285,1.0,0.934,1.0,0.8047071428571428,0.1111111111111111,0.0,0.0,0.0,0.10576923076923077,0.3508771929824561,0.1,0.0,0.35185185185185186,0.26666666666666666,0.0,0.07142857142857142,0.1125,0.2413793103448276,0.07692307692307693,0.04166666666666666,0.12432432432432433,0.1282051282051282,0.0,0.09090909090909093,0.2740384615384616,0.8039215686274509,0.08888888888888889,0.0,0.16551724137931034,0.2083333333333333,0.057142857142857134,0.16666666666666666,0.06666666666666668,0.0,0.0,0.0,0.3709677419354839,0.75,0.2,0.0,3
